
BH curves of oita steel for various stress levels:
material  steel

  H		B
==================================

stress: -15
begin
  0.0000      0.0000
      0.1000      0.0400
      0.2000      0.1200
      0.3000      0.2500
      0.4000      0.4000
      0.5000      0.5200
      0.6000      0.7000
      0.7000      0.8000
      0.8000      1.0000
      0.9000      1.1000
      1.0000      1.2500
      1.1000      1.5000
      1.2000      1.7000
      1.3000      1.9000
      1.4000      2.1000
      1.5000      2.3500
      1.6000      2.8000
      1.7000      2.9000
1.8	3
1.9	3.1
2	3.2
2.1	3.3
2.2	3.4
2.3	3.5
end

stress: 0
begin
 0.0000      0.0000
      0.1000      0.0100
      0.2000      0.0400
      0.3000      0.0800
      0.4000      0.1500
      0.5000      0.2200
      0.6000      0.2800
      0.7000      0.3700
      0.8000      0.4500
      0.9000      0.5500
      1.0000      0.6800
      1.1000      0.7800
      1.2000      0.9200
      1.3000      1.0500
      1.4000      1.2500
      1.5000      1.6000
      1.6000      1.8500
      1.7000      2.0000
1.8	2.1
1.9	2.2
2	2.3
2.1	2.4
2.2	2.5
2.3	2.6
end



